schemaname,tablename,indexname,indexdef
public,email_templates,email_templates_workspace_id_name_key,"CREATE UNIQUE INDEX email_templates_workspace_id_name_key ON public.email_templates USING btree (workspace_id, name)"
public,email_templates,idx_email_templates_user_id,CREATE INDEX idx_email_templates_user_id ON public.email_templates USING btree (user_id)
public,expense_categories,expense_categories_pkey,CREATE UNIQUE INDEX expense_categories_pkey ON public.expense_categories USING btree (id)
public,expense_categories,expense_categories_workspace_id_name_unique,"CREATE UNIQUE INDEX expense_categories_workspace_id_name_unique ON public.expense_categories USING btree (workspace_id, name)"
public,expense_recurring,expense_recurring_pkey,CREATE UNIQUE INDEX expense_recurring_pkey ON public.expense_recurring USING btree (id)
public,expense_recurring,idx_expense_recurring_category_id,CREATE INDEX idx_expense_recurring_category_id ON public.expense_recurring USING btree (category_id)
public,expense_recurring,idx_expense_recurring_created_by,CREATE INDEX idx_expense_recurring_created_by ON public.expense_recurring USING btree (created_by)
public,expense_recurring,idx_expense_recurring_project_id,CREATE INDEX idx_expense_recurring_project_id ON public.expense_recurring USING btree (project_id)
public,expense_recurring,idx_expense_recurring_workspace_id,CREATE INDEX idx_expense_recurring_workspace_id ON public.expense_recurring USING btree (workspace_id)
public,expenses,expenses_pkey,CREATE UNIQUE INDEX expenses_pkey ON public.expenses USING btree (id)
public,expenses,idx_expenses_category_id,CREATE INDEX idx_expenses_category_id ON public.expenses USING btree (category_id)
public,expenses,idx_expenses_client_id,CREATE INDEX idx_expenses_client_id ON public.expenses USING btree (client_id)
public,expenses,idx_expenses_created_by,CREATE INDEX idx_expenses_created_by ON public.expenses USING btree (created_by)
public,expenses,idx_expenses_project_id,CREATE INDEX idx_expenses_project_id ON public.expenses USING btree (project_id)
public,expenses,idx_expenses_workspace_id,CREATE INDEX idx_expenses_workspace_id ON public.expenses USING btree (workspace_id)
public,files,files_pkey,CREATE UNIQUE INDEX files_pkey ON public.files USING btree (id)
public,files,idx_files_client_id,CREATE INDEX idx_files_client_id ON public.files USING btree (client_id)
public,files,idx_files_folder_id,CREATE INDEX idx_files_folder_id ON public.files USING btree (folder_id)
public,files,idx_files_project_id,CREATE INDEX idx_files_project_id ON public.files USING btree (project_id)
public,files,idx_files_uploaded_by,CREATE INDEX idx_files_uploaded_by ON public.files USING btree (uploaded_by)
public,files,idx_files_workspace_id,CREATE INDEX idx_files_workspace_id ON public.files USING btree (workspace_id)
public,folders,folders_pkey,CREATE UNIQUE INDEX folders_pkey ON public.folders USING btree (id)
public,folders,idx_folders_client_id,CREATE INDEX idx_folders_client_id ON public.folders USING btree (client_id)
public,folders,idx_folders_parent_id,CREATE INDEX idx_folders_parent_id ON public.folders USING btree (parent_id)
public,folders,idx_folders_project_id,CREATE INDEX idx_folders_project_id ON public.folders USING btree (project_id)
public,folders,idx_folders_workspace_id,CREATE INDEX idx_folders_workspace_id ON public.folders USING btree (workspace_id)
public,google_calendar_connections,google_calendar_connections_pkey,CREATE UNIQUE INDEX google_calendar_connections_pkey ON public.google_calendar_connections USING btree (id)
public,google_calendar_connections,google_calendar_connections_user_id_idx,CREATE INDEX google_calendar_connections_user_id_idx ON public.google_calendar_connections USING btree (user_id)
public,google_calendar_connections,google_calendar_connections_user_id_key,CREATE UNIQUE INDEX google_calendar_connections_user_id_key ON public.google_calendar_connections USING btree (user_id)
public,invoice_items,idx_invoice_items_invoice_id,CREATE INDEX idx_invoice_items_invoice_id ON public.invoice_items USING btree (invoice_id)
public,invoice_items,invoice_items_pkey,CREATE UNIQUE INDEX invoice_items_pkey ON public.invoice_items USING btree (id)
public,invoice_templates,idx_invoice_templates_created_by,CREATE INDEX idx_invoice_templates_created_by ON public.invoice_templates USING btree (created_by)
public,invoice_templates,idx_invoice_templates_workspace,CREATE INDEX idx_invoice_templates_workspace ON public.invoice_templates USING btree (workspace_id)
public,invoice_templates,invoice_templates_pkey,CREATE UNIQUE INDEX invoice_templates_pkey ON public.invoice_templates USING btree (id)
public,invoices,idx_invoices_client_id,CREATE INDEX idx_invoices_client_id ON public.invoices USING btree (client_id)
public,invoices,idx_invoices_project_id,CREATE INDEX idx_invoices_project_id ON public.invoices USING btree (project_id)
public,invoices,invoices_number_trgm,CREATE INDEX invoices_number_trgm ON public.invoices USING gin (invoice_number gin_trgm_ops)
public,invoices,invoices_pkey,CREATE UNIQUE INDEX invoices_pkey ON public.invoices USING btree (id)
public,invoices,invoices_shared_token_hash_unique,CREATE UNIQUE INDEX invoices_shared_token_hash_unique ON public.invoices USING btree (shared_token_hash)
public,invoices,invoices_workspace_id_invoice_number_unique,"CREATE UNIQUE INDEX invoices_workspace_id_invoice_number_unique ON public.invoices USING btree (workspace_id, invoice_number)"
public,notifications,idx_notifications_actor_id,CREATE INDEX idx_notifications_actor_id ON public.notifications USING btree (actor_id)
public,notifications,notifications_pkey,CREATE UNIQUE INDEX notifications_pkey ON public.notifications USING btree (id)
public,notifications,notifications_user_unread_idx,"CREATE INDEX notifications_user_unread_idx ON public.notifications USING btree (user_id, created_at DESC) WHERE (read_at IS NULL)"
